序號,公司,公司中文網址,產品網頁,備註
50,厚達織品有限公司,http://www.hana-fashion.com.tw/,http://www.hana-fashion.com.tw/index.php?a=product,
51,泉碩科技股份有限公司(良瑋集團),http://www.mmfabric.com.tw/main.html,https://www.mmfabric.com.tw/page/product/p02.aspx,
52,洪裕國際股份有限公司,http://www.hungsfortune.com/,http://www.hungsfortune.com/#services,
53,美加美整理股份有限公司,http://www.meichamei.com.tw/,http://www.meichamei.com.tw/ec99/shop1353/Products.asp,
55,倚天酷碁股份有限公司,https://www.gti.tech/,https://www.acergadget.com/zh-TW/collections/%E5%8C%85%E6%AC%BE,
58,偉全實業股份有限公司,http://www.wisher.com.tw/,https://www.wisher.com.tw/products,
59,國紡企業股份有限公司,http://www.lovetex.com.tw,https://www.lovetex.com.tw/product.htm,
60,崇銘紡織企業有限公司,http://www.chungming.com.tw/,http://www.chungming.com.tw/index.php?r=site/product,
61,崇躍實業股份有限公司,http://www.erictex.com.tw/,http://www.erictex.com.tw/product.php,
62,崑洲實業股份有限公司,http://www.qmico.com/,http://www.qmico.com/technology,
63,得力實業股份有限公司,https://www.delicacy.com.tw/,https://www.delicacy.com.tw/en/Product,
64,得溢實業有限公司,http://www.texxar.com.tw/,https://www.texxar.com.tw/products,
65,捷弘國際貿易有限公司,http://www.je-hong.com.tw/index_en.php,http://www.je-hong.com.tw/product_en.php?id=78,
66,莎美娜實業股份有限公司,http://www.sabrina.com.tw/,http://www.sabrina.com.tw/what-we-do/evology/,
68,富順纖維工業股份有限公司,http://www.fuhsun.com,http://www.fuhsun.com/products,
69,惠新實業股份有限公司,https://ec.eswan.com.tw/,https://ec.eswan.com.tw/v2/official/SalePageCategory/359761?sortMode=Sales,
70,晶安有限公司,http://www.labtex.com.tw,,
71,景賀開發股份有限公司,http://www.ladyparis.com.tw,https://www.ladyparis.com.tw/products,只有產品，但沒有材料說明
72,智偉織造股份有限公司,http://www.trueway.com.tw/,http://www.trueway.com.tw/,
73,游城實業股份有限公司,http://www.yu-city.com/,http://www.yu-city.com/eproducts/,
74,渤揚股份有限公司,http://www.pepwing.com/,https://www.pepwing.com/products,
75,翔定興業有限公司,http://www.flyingtex.com.tw/,http://www.flyingtex.com.tw/zh/%e7%94%a2%e5%93%81%e5%88%86%e9%a1%9e/,
76,菁華工業股份有限公司,http://www.kingwhale.com/,http://www.kingwhale.com/Performance.html,
77,詠祥紡織股份有限公司,http://www.caroltex.com/Big5/news/,http://www.caroltex.com/en-global/product/index,
78,逸祥國際股份有限公司,http://www.triad886.com.tw/,http://www.triad886.com.tw/blog/category/apparel/%e7%94%9f%e7%94%a2%e6%ac%be%e5%bc%8f/,
79,集盛實業股份有限公司,http://www.zigsheng.com/,http://www.zigsheng.com/scope-of-application-zh/fiber-division-zh/functional-workout-wear-zh/,
80,新光合成纖維股份有限公司,http://www.shinkong.com.tw/,http://www.shinkong.com.tw/product/listAll,
81,新光紡織股份有限公司,http://www.sktextile.com.tw/,,無產品資訊
82,新麗企業股份有限公司,http://www.shinih.com,http://www.shinih.com/cht/cs2/a_010.php,
83,溢勝纖維有限公司,https://www.eysan.com.tw/,https://www.eysan.com.tw/products/,
84,源甡股份有限公司,http://www.jadams.com.tw/,http://www.jadams.com.tw/web/product/product.jsp,只有產品，但沒有材料說明
85,裕源紡織股份有限公司,http://www.yuyuang.com.tw/,https://www.yuyuang.com.tw/product/5,
86,福懋興業股份有限公司,http://www.ftc.com.tw/,http://www.ftc.com.tw/newftc/products_list.php,
88,聚陽實業(股)公司,http://www.makalot.com.tw/,https://www.makalot.com.tw/products-and-service/all-products,
89,聚隆纖維股份有限公司,http://www.acelon.com.tw/,https://www.acelon.com.tw/en/products,
90,遠東先進纖維股份有限公司,https://www.fefc.com.tw/#/,https://www.fefc.com.tw/#/greeneco,
93,銘旺實業股份有限公司,http://www.haksport.com,http://www.haksport.com/index.php?route=product/category&lg=tw,
94,儒鴻企業股份有限公司,http://www.eclat.com.tw/,http://www.eclat.com.tw/zh-tw/product_group.php,
95,興采實業(股)公司,http://www.singtex.com/,https://www.singtex.com/zh/yarn-2/,
96,優聚企業股份有限公司,https://www.agtex.com.tw/,https://www.agtex.com.tw/comfort.html,
97,薛長興工業股份有限公司,http://www.sheico.com.tw/,https://sheico.com/tw/department/department.php?pid=2,
99,黛莉股份有限公司,http://www.mackent.com.tw/,https://www.mackent-group.com/en/product-list,只有產品，但沒有材料說明
101,薩摩亞商竣邦國際股份有限公司台灣分公司,https://www.jb-group.com.tw/,https://www.jb-group.com.tw/product,只有產品，但沒有材料說明
102,耀億工業股份有限公司,http://www.yaoi.com.tw/,https://www.yaoi.com.tw/product/Staple-Fiber-Business.php,只有產品，但沒有材料說明
103,蘭精台灣纖維有限公司,http://www.lenzing.com/en/home.html,https://www.lenzing.com/products,只有說明產品目的，但沒有其他說明
104,纖宇企業股份有限公司,http://www.premiere1.com.tw/,,只有產品，但沒有材料說明
